revision,layout_sha256,路线,状态,宽mm,可达,原因
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,客房到窗,normal4,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,主卧到窗,normal4,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,备餐至岛台,normal4,620,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,岛台至餐桌,normal4,620,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,阳台烹饪,normal4,620,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,单卫坐便,normal4,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,外置洗漱,normal4,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,淋浴入口,normal4,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,家政取物,normal4,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,会客,normal4,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,儿童睡眠,normal4,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,主卧睡眠,normal4,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,客房睡眠,normal4,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,备餐,normal4,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,就餐,normal4,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,洗烘,normal4,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,儿童到窗,normal4,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,客房到窗,normal4,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,主卧到窗,normal4,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,备餐至岛台,normal4,900,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,岛台至餐桌,normal4,900,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,阳台烹饪,normal4,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,单卫坐便,normal4,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,外置洗漱,normal4,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,淋浴入口,normal4,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,家政取物,normal4,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,会客,normal6,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,儿童睡眠,normal6,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,主卧睡眠,normal6,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,客房睡眠,normal6,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,备餐,normal6,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,就餐,normal6,500,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,洗烘,normal6,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,儿童到窗,normal6,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,客房到窗,normal6,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,主卧到窗,normal6,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,备餐至岛台,normal6,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,岛台至餐桌,normal6,500,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,阳台烹饪,normal6,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,单卫坐便,normal6,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,外置洗漱,normal6,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,淋浴入口,normal6,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,家政取物,normal6,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,会客,normal6,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,儿童睡眠,normal6,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,主卧睡眠,normal6,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,客房睡眠,normal6,600,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,备餐,normal6,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,就餐,normal6,600,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,洗烘,normal6,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,儿童到窗,normal6,600,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,客房到窗,normal6,600,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,主卧到窗,normal6,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,备餐至岛台,normal6,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,岛台至餐桌,normal6,600,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,阳台烹饪,normal6,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,单卫坐便,normal6,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,外置洗漱,normal6,600,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,淋浴入口,normal6,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,家政取物,normal6,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,会客,normal6,620,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,儿童睡眠,normal6,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,主卧睡眠,normal6,620,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,客房睡眠,normal6,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,备餐,normal6,620,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,就餐,normal6,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,洗烘,normal6,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,儿童到窗,normal6,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,客房到窗,normal6,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,主卧到窗,normal6,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,备餐至岛台,normal6,620,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,岛台至餐桌,normal6,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,阳台烹饪,normal6,620,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,单卫坐便,normal6,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,外置洗漱,normal6,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,淋浴入口,normal6,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,家政取物,normal6,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,会客,normal6,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,儿童睡眠,normal6,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,主卧睡眠,normal6,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,客房睡眠,normal6,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,备餐,normal6,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,就餐,normal6,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,洗烘,normal6,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,儿童到窗,normal6,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,客房到窗,normal6,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,主卧到窗,normal6,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,备餐至岛台,normal6,900,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,岛台至餐桌,normal6,900,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,阳台烹饪,normal6,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,单卫坐便,normal6,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,外置洗漱,normal6,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,淋浴入口,normal6,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,家政取物,normal6,900,False,起点包络受阻
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,会客,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,儿童睡眠,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,主卧睡眠,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,客房睡眠,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,备餐,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,就餐,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,洗烘,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,儿童到窗,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,客房到窗,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,主卧到窗,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,备餐至岛台,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,岛台至餐桌,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,阳台烹饪,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,单卫坐便,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,外置洗漱,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,淋浴入口,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,家政取物,chairs_pulled,500,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,会客,chairs_pulled,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,儿童睡眠,chairs_pulled,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,主卧睡眠,chairs_pulled,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,客房睡眠,chairs_pulled,600,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,备餐,chairs_pulled,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,就餐,chairs_pulled,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,洗烘,chairs_pulled,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,儿童到窗,chairs_pulled,600,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,客房到窗,chairs_pulled,600,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,主卧到窗,chairs_pulled,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,备餐至岛台,chairs_pulled,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,岛台至餐桌,chairs_pulled,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,阳台烹饪,chairs_pulled,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,单卫坐便,chairs_pulled,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,外置洗漱,chairs_pulled,600,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,淋浴入口,chairs_pulled,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,家政取物,chairs_pulled,600,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,会客,chairs_pulled,620,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,儿童睡眠,chairs_pulled,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,主卧睡眠,chairs_pulled,620,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,客房睡眠,chairs_pulled,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,备餐,chairs_pulled,620,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,就餐,chairs_pulled,620,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,洗烘,chairs_pulled,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,儿童到窗,chairs_pulled,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,客房到窗,chairs_pulled,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,主卧到窗,chairs_pulled,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,备餐至岛台,chairs_pulled,620,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,岛台至餐桌,chairs_pulled,620,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,阳台烹饪,chairs_pulled,620,True,该方形包络可达；门全开，操作区另查
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,单卫坐便,chairs_pulled,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,外置洗漱,chairs_pulled,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,淋浴入口,chairs_pulled,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
R2,668e39924f6c4857e320cb33a8b92d7e261b9c682babee755a253c7963718394,家政取物,chairs_pulled,620,False,目标区域无完整可站立包络（含墙/家具/当前开启件）
